Alle economische activiteiten,Sectie,Jaar,Alle plaatsen,Gewest,Aantal btw-plichtige
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Vlaams Gewest,30732.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,261.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Waals Gewest,18826.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Buitenland,178.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,Onbekend,2.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2021,Alle plaatsen,,49999.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Vlaams Gewest,64.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,10.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Waals Gewest,131.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Buitenland,6.0
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,B Winning van delfstoffen,2021,Alle plaatsen,,211.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Vlaams Gewest,36537.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,3303.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Waals Gewest,15416.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Buitenland,718.0
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,C Industrie,2021,Alle plaatsen,,55974.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Vlaams Gewest,891.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,146.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Waals Gewest,299.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Buitenland,26.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,Onbekend,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2021,Alle plaatsen,,1362.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Vlaams Gewest,1064.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,95.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Waals Gewest,581.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2021,Alle plaatsen,Buitenland,19.0
