België,Gewest,Provincie,totaal,Huisvestingsregeling niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,1136739
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Bewoners van een andere wooneenheid en thuislozen,39
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,1771685
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Bewoners van een andere wooneenheid en thuislozen,1582
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,845851
België,Vlaams Gewest  ,Provincie Limburg,totaal,Bewoners van een andere wooneenheid en thuislozen,1000
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,1448507
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Bewoners van een andere wooneenheid en thuislozen,421
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,1088515
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Bewoners van een andere wooneenheid en thuislozen,177
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,1167920
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Bewoners van een andere wooneenheid en thuislozen,82
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,383558
België,Waals Gewest,Provincie Waals-Brabant,totaal,Bewoners van een andere wooneenheid en thuislozen,90
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648
België,Waals Gewest,Provincie Henegouwen,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,1319494
België,Waals Gewest,Provincie Henegouwen,totaal,Bewoners van een andere wooneenheid en thuislozen,251
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745
België,Waals Gewest,Provincie Luik,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,1081839
België,Waals Gewest,Provincie Luik,totaal,Bewoners van een andere wooneenheid en thuislozen,297
België,Waals Gewest,Provincie Luik,totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,273091
België,Waals Gewest,Provincie Luxemburg,totaal,Bewoners van een andere wooneenheid en thuislozen,114
België,Waals Gewest,Provincie Luxemburg,totaal,,273205
België,Waals Gewest,Provincie Namen,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,479053
België,Waals Gewest,Provincie Namen,totaal,Bewoners van een andere wooneenheid en thuislozen,333
België,Waals Gewest,Provincie Namen,totaal,,479386
België,,,totaal,Bewoners van een conventionele woning of een collectief woonverblijf,10996252
België,,,totaal,Bewoners van een andere wooneenheid en thuislozen,4386
België,,,totaal,,11000638
