België,Gewest,Provincie,totaal,Bedrijfstak niveau 1,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"A: Landbouw, bosbouw en visserij",491
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Industrie en winning van delfstoffen,17140
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,F: Bouwnijverheid,18764
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",88145
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,J: Informatie en communicatie,15753
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,K: Financiële activiteiten en verzekeringen,16060
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,L: Exploitatie van en handel in onroerend goed,4969
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",72647
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",110496
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Overige diensten,23693
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,2222
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"A: Landbouw, bosbouw en visserij",8219
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Industrie en winning van delfstoffen,111697
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,F: Bouwnijverheid,48961
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",187278
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,J: Informatie en communicatie,20824
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,K: Financiële activiteiten en verzekeringen,23596
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,L: Exploitatie van en handel in onroerend goed,4745
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",97390
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",203818
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Overige diensten,27582
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,12624
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734
België,Vlaams Gewest  ,Provincie Limburg,totaal,"A: Landbouw, bosbouw en visserij",5033
België,Vlaams Gewest  ,Provincie Limburg,totaal,Industrie en winning van delfstoffen,59789
België,Vlaams Gewest  ,Provincie Limburg,totaal,F: Bouwnijverheid,28367
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",78537
België,Vlaams Gewest  ,Provincie Limburg,totaal,J: Informatie en communicatie,6228
België,Vlaams Gewest  ,Provincie Limburg,totaal,K: Financiële activiteiten en verzekeringen,7842
België,Vlaams Gewest  ,Provincie Limburg,totaal,L: Exploitatie van en handel in onroerend goed,1641
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",40417
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",104976
België,Vlaams Gewest  ,Provincie Limburg,totaal,Overige diensten,11482
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,19479
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"A: Landbouw, bosbouw en visserij",9623
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Industrie en winning van delfstoffen,97872
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,F: Bouwnijverheid,48562
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",141157
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,J: Informatie en communicatie,16743
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,K: Financiële activiteiten en verzekeringen,22324
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,L: Exploitatie van en handel in onroerend goed,3434
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Vrije beroepen en wetenschappelijke en technische activiteiten, administratieve en ondersteunende diensten",76106
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Openbaar bestuur en defensie, onderwijs, menselijke gezondheidszorg en maatschappelijke dienstverlening",200116
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Overige diensten,20768
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,2895
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"A: Landbouw, bosbouw en visserij",4162
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Industrie en winning van delfstoffen,42659
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,F: Bouwnijverheid,22449
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Groot- en detailhandel, vervoer en opslag, verschaffen van accommodatie en maaltijden",121569
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,J: Informatie en communicatie,19778
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,K: Financiële activiteiten en verzekeringen,25169
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,L: Exploitatie van en handel in onroerend goed,3259
