België,Gewest,Provincie,totaal,Jaar van aankomst sinds 1980 niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,455987.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",680789.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,2.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,277249.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",1496017.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,1.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,96280.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",750570.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,1.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,125037.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",1323889.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,2.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,140827.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",947862.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,3.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,73653.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",1094349.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,55839.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",327808.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,1.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648.0
België,Waals Gewest,Provincie Henegouwen,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,144745.0
België,Waals Gewest,Provincie Henegouwen,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",1174996.0
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,4.0
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745.0
België,Waals Gewest,Provincie Luik,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,147251.0
België,Waals Gewest,Provincie Luik,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",934882.0
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,3.0
België,Waals Gewest,Provincie Luik,totaal,,1082136.0
België,Waals Gewest,Provincie Luxemburg,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,38214.0
België,Waals Gewest,Provincie Luxemburg,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",234990.0
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,1.0
België,Waals Gewest,Provincie Luxemburg,totaal,,273205.0
België,Waals Gewest,Provincie Namen,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,41958.0
België,Waals Gewest,Provincie Namen,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",437426.0
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,2.0
België,Waals Gewest,Provincie Namen,totaal,,479386.0
België,,,totaal,Ooit in het buitenland verbleven en aangekomen in 1980 of daarna,1597040.0
België,,,totaal,"Ooit in het buitenland verbleven en aangekomen in 1979 of daarvoor, of nooit in het buitenland verbleven",9403578.0
België,,,totaal,Niet aangegeven,20.0
België,,,totaal,,11000638.0
