België,Gewest,Provincie,Arrondissement,Aantal woningen
België,Vlaams Gewest,Provincie Antwerpen,,724032
België,Vlaams Gewest,Provincie Vlaams-Brabant,,434265
België,Vlaams Gewest,Provincie West-Vlaanderen,,491629
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,601447
België,Vlaams Gewest,Provincie Limburg,,333137
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,475619
België,Waals Gewest,Provincie Waals-Brabant,,148562
België,Waals Gewest,Provincie Henegouwen,,551779
België,Waals Gewest,Provincie Luik,,444895
België,Waals Gewest,Provincie Luxemburg,,107040
België,Waals Gewest,Provincie Namen,,190789
België,,,,4503194
