België,Gewest,Provincie,Arrondissement,Gemeente,Aandeel loontrekkenden
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Lasne,0.592
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Sint-Martens-Latem,0.619
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Lo-Reninge,0.672
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schilde,0.676
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,0.677
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Genesius-Rode,0.704
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Alveringem,0.707
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Heuvelland,0.715
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Zuienkerke,0.716
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,0.721
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Koksijde,0.727
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waterloo,0.732
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Pittem,0.733
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Chaumont-Gistoux,0.734
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Damme,0.736
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Terhulpen,0.741
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Linkebeek,0.741
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,La Roche-en-Ardenne,0.743
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Herstappe,0.744
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Kruishoutem,0.745
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Vleteren,0.745
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Waasmunster,0.748
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,0.75
België,Waals Gewest,Provincie Namen,Arrondissement Dinant,Vresse-sur-Semois,0.75
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,De Haan,0.756
België,Waals Gewest,Provincie Luxemburg,Arrondissement Neufchâteau,Bouillon,0.757
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Wingene,0.757
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Maarkedal,0.759
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ardooie,0.762
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Keerbergen,0.762
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Graven,0.763
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Staden,0.763
België,Waals Gewest,Provincie Luxemburg,Arrondissement Marche-en-Famenne,Rendeux,0.763
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Veurne,Nieuwpoort,0.763
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Diksmuide,0.767
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Kaprijke,0.768
